State,CD,Name,Incumbent,Party,Clinton,Trump,Obama,Romney,Obama,McCain,Dem,GOP,PVI,,,,,,,
IL,07,IL07,"Davis, Danny",(D),87.4,9.2,87.2,11.8,89.4,9.9,89%,11%,36.06,,,,,,,
IL,08,IL08,"Krishnamoorthi, Raja",(D),58.1,36.4,57.4,40.9,61.5,37.1,60%,40%,7.39,,,,,,,
IL,09,IL09,"Schakowsky, Jan",(D),70.1,24.9,65,33.3,68.6,30.3,68%,32%,14.75,,,,,,,
IL,10,IL10,"Schneider, Brad",(D),62,32.6,57.5,41.1,63,35.9,61%,39%,8.01,,,,,,,
IL,11,IL11,"Foster, Bill",(D),58.9,35.4,57.8,40.6,61.3,37.5,60%,40%,7.4,,,,,,,
IL,12,IL12,"Bost, Mike",(R),40.2,55,49.7,48.2,54.7,43.6,53%,47%,0.21,,,,,,,
IL,13,IL13,"Davis, Rodney",(R),44.2,49.7,48.6,48.9,54.6,43.6,53%,47%,0.27,,,,,,,
IL,14,IL14,"Hultgren, Randy",(R),44.8,48.7,44.2,54.2,50.7,48,48%,52%,4.85,,,,,,,
IL,15,IL15,"Shimkus, John",(R),24.5,70.7,34.1,63.9,42.8,55.4,39%,61%,13.81,,,,,,,
IL,16,IL16,"Kinzinger, Adam",(R),38.3,55.5,45.2,52.9,50,48.2,48%,52%,4.5,,,,,,,
IL,17,IL17,"Bustos, Cheri",(D),46.7,47.4,57.6,40.6,60,38.5,60%,40%,6.79,,,,,,,
IL,18,IL18,"LaHood, Darin",(R),33.3,60.6,37.4,60.7,44.1,54.4,41%,59%,11.55,,,,,,,
IN,01,IN01,"Visclosky, Pete",(D),54.1,41.5,61.2,37.4,63.3,35.8,63%,37%,9.97,,,,,,,
IN,02,IN02,"Walorski, Jackie",(R),36.1,59.3,42.1,56.1,49.6,49.3,47%,53%,6.48,,,,,,,
IN,03,IN03,"Banks, Jim",(R),30.1,65.1,35.7,62.5,43,56,40%,60%,13.09,,,,,,,
IN,04,IN04,"Rokita, Todd",(R),30.2,64.3,36.9,60.9,44.6,54.2,41%,59%,11.55,,,,,,,
IN,05,IN05,"Brooks, Susan",(R),41.3,53.1,40.7,57.5,46.6,52.6,44%,56%,8.78,,,,,,,
IN,06,IN06,"Messer, Luke",(R),27.4,67.7,37.3,60.4,43.6,55,41%,59%,11.79,,,,,,,
IN,07,IN07,"Carson, Andre",(D),59,36.2,62.9,35.4,66.3,32.8,65%,35%,12.45,,,,,,,
IN,08,IN08,"Bucshon, Larry",(R),30.9,64.6,39.6,58.4,48.1,50.6,45%,55%,8.41,,,,,,,
IN,09,IN09,"Hollingsworth, Trey",(R),34.2,61.1,40.7,57.2,46.2,52.7,44%,56%,8.84,,,,,,,
KS,01,KS01,"Marshall, Roger",(R),24.3,69.3,27.6,70.1,31,67.2,30%,70%,23.09,,,,,,,
KS,02,KS02,"Jenkins, Lynn",(R),37.4,55.8,42,55.6,45.3,52.8,45%,55%,8.39,,,,,,,
KS,03,KS03,"Yoder, Kevin",(R),47.2,46,44.3,53.8,48.8,49.9,47%,53%,5.69,,,,,,,
KS,04,KS04,"Estes, Ron",(R),33,60.2,36.1,61.6,39.5,58.6,39%,61%,14.39,,,,,,,
KY,01,KY01,"Comer, James",(R),23.9,72.4,32.1,66.4,36.9,61.6,35%,65%,17.97,,,,,,,
KY,02,KY02,"Guthrie, Brett",(R),27.6,67.5,35.1,63.3,37.2,61.5,37%,63%,16.32,,,,,,,
KY,03,KY03,"Yarmuth, John",(D),54.9,39.9,55.7,42.8,56.2,42.8,57%,43%,3.66,,,,,,,
KY,04,KY04,"Massie, Thomas",(R),29.3,65.2,34.8,63.4,37,61.5,37%,63%,16.5,,,,,,,
KY,05,KY05,"Rogers, Hal",(R),17.5,79.6,23.2,75,31.6,66.6,28%,72%,25.1,,,,,,,
KY,06,KY06,"Barr, Andy",(R),39.4,54.7,42.2,55.8,44.8,53.7,44%,56%,8.73,,,,,,,
LA,01,LA01,"Scalise, Steve",(R),26.7,68.7,26.9,70.9,25.3,72.7,27%,73%,26.34,,,,,,,
LA,02,LA02,"Richmond, Cedric",(D),74.6,22.2,75.8,22.8,73.4,25.4,76%,24%,22.58,,,,,,,
LA,03,LA03,"Higgins, Clay",(R),29.2,67.3,32.3,66.1,34.1,64.2,34%,66%,19.24,,,,,,,
LA,04,LA04,"Johnson, Mike",(R),36.6,60.6,39.7,59,39.9,58.9,40%,60%,12.7,,,,,,,
LA,05,LA05,"Abraham, Ralph",(R),34.1,63.5,37.7,61,36.7,62,38%,62%,15.31,,,,,,,
LA,06,LA06,"Graves, Garret",(R),31,64.8,32,66.1,30.9,67.5,32%,68%,20.99,,,,,,,
MA,01,MA01,"Neal, Richard",(D),57.2,36.5,64,34.3,64.1,33.7,65%,35%,12.32,,,,,,,
MA,02,MA02,"McGovern, Jim",(D),56.2,36.8,58.7,39.2,60.4,37.5,61%,39%,7.83,,,,,,,
MA,03,MA03,"Tsongas, Niki",(D),58.2,35.4,56.9,41.4,58.8,39.4,59%,41%,5.88,,,,,,,
MA,04,MA04,"Kennedy, Joe",(D),59.2,35,57.1,41.3,60.4,37.9,60%,40%,6.74,,,,,,,
