1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME (Last; First),TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)"
232,Arizona,AZ,8,H0AZ08056,,Jonathan,Paton,Paton; Jonathan,,REP,37066,41.55%,,,,,,
233,Arizona,AZ,8,H0AZ08031,,Brian,Miller,Miller; Brian,,REP,6613,7.41%,,,,,,
234,Arizona,AZ,8,H6AZ08103,,Jay,Quick,Quick; Jay,,REP,1933,2.17%,,,,,,
235,Arizona,AZ,8,H0AZ08023,,Andy,Goss,Goss; Andy,,REP,502,0.56%,,,,,,
236,Arizona,AZ,8,n/a,,,,,Party Votes:,REP,89211,,,,,,,
237,Arizona,AZ,8,H0AZ08064,,Steven,Stoltz,Stoltz; Steven,,LIB,482,100.00%,,,11174,3.94%,,
238,Arizona,AZ,8,n/a,,,,,Party Votes:,LIB,482,,,,,,,
239,Arizona,AZ,8,n/a,,,,,District Votes:,,145223,,,,283578,,,
240,Arizona,AZ,,n/a,,,,,,,,,,,,,,
241,Arizona,AZ,H,n/a,,,,,Total State Votes:,,830858,,,,1698145,,,
242,Arizona,AZ,,n/a,,,,,,,,,,,,,,
243,Arizona,AZ,,n/a,,,,,,,,,,,,,,
244,Arizona,AZ,S,S6AZ00019,(I),John,McCain,McCain; John,,REP,333744,56.25%,,,1005615,58.86%,,
245,Arizona,AZ,S,S0AZ00251,,J.D.,Hayworth,Hayworth; J.D.,,REP,190229,32.06%,,,,,,
246,Arizona,AZ,S,S0AZ00194,,Jim,Deakin,Deakin; Jim,,REP,69328,11.69%,,,,,,
247,Arizona,AZ,S,n/a,,,,,Party Votes:,REP,593301,,,,,,,
248,Arizona,AZ,S,S0AZ00269,,Rodney,Glassman,Glassman; Rodney,,DEM,100307,34.60%,,,592011,34.65%,,
249,Arizona,AZ,S,S4AZ00055,,Cathy,Eden,Eden; Cathy,,DEM,76487,26.39%,,,,,,
250,Arizona,AZ,S,S0AZ00293,,John,Dougherty,Dougherty; John,,DEM,68589,23.66%,,,,,,
