St,CD,CD_Name,Obama12,Romney12,Obama08,McCain08,Kerry04,Bush04,Dem,GOP,PVI,,,,,,,
NE,3,NE03,27.8,70.2,31.1,67.1,26,74,29%,71%,22.41,,,,,,,
NH,1,NH01,50.2,48.6,52.8,46.4,49,51,51%,49%,0.11,,,,,,,
NH,2,NH02,54.2,44.5,56,43.1,52,48,54%,46%,3.03,,,,,,,
NJ,1,NJ01,65.1,33.8,65.4,34.6,61,39,63%,37%,11.99,,,,,,,
NJ,2,NJ02,53.6,45.4,53.9,46.1,49,51,51%,49%,0.24,,,,,,,
NJ,3,NJ03,51.8,47.2,51.9,48.1,47,53,49%,51%,1.76,,,,,,,
NJ,4,NJ04,44.7,54.2,45.7,54.3,43,57,44%,56%,6.86,,,,,,,
NJ,5,NJ05,47.9,51,48.9,51.1,46,54,47%,53%,3.76,,,,,,,
NJ,6,NJ06,61.4,37.4,59.1,40.9,55,45,57%,43%,5.84,,,,,,,
NJ,7,NJ07,46.4,52.5,47.8,52.2,44,56,46%,54%,5.31,,,,,,,
NJ,8,NJ08,78.3,20.7,74.4,25.6,67,33,71%,29%,19.49,,,,,,,
NJ,9,NJ09,68.3,30.8,64.2,35.8,60,40,62%,38%,10.89,,,,,,,
NJ,10,NJ10,87.9,11.5,84.7,15.3,80,20,82%,18%,31.14,,,,,,,
NJ,11,NJ11,46.6,52.4,47.4,52.6,44,56,46%,54%,5.51,,,,,,,
NJ,12,NJ12,66.5,32.4,66.3,33.7,61,39,64%,36%,12.44,,,,,,,
NM,1,NM01,55.2,39.7,60.2,38.7,52,48,56%,44%,5.2,,,,,,,
NM,2,NM02,44.9,51.8,49.2,49.8,41,59,45%,55%,5.89,,,,,,,
NM,3,NM03,57.5,38.7,59.3,39.7,54,46,57%,43%,5.72,,,,,,,
NV,1,NV01,65.6,32.4,64.4,33.2,59,41,62%,38%,11.23,,,,,,,
NV,2,NV02,44.8,52.9,49.4,48.2,42,58,46%,54%,4.96,,,,,,,
NV,3,NV03,49.5,48.7,53.6,44.5,47,53,51%,49%,0.43,,,,,,,
NV,4,NV04,54.4,43.7,56.4,41.5,50,50,54%,46%,2.55,,,,,,,
NY,1,NY01,49.6,49.1,51.4,47.6,50,50,51%,49%,0.26,,,,,,,
NY,2,NY02,51.6,47.2,51.2,47.9,49,51,50%,50%,0.89,,,,,,,
