State,CD,Name,Incumbent,Party,Obama 2012,Romney 2012,Obama 2008,McCain 2008,Dem,GOP,PVI,,,,,,,,,
KY,01,KY01,"Whitfield, Ed",(R),32.1,66.4,36.9,61.6,35%,65%,17.97,,,,,,,,,
KY,02,KY02,"Guthrie, Brett",(R),35.1,63.3,37.2,61.5,37%,63%,16.32,,,,,,,,,
KY,03,KY03,"Yarmuth, John",(D),55.7,42.8,56.2,42.8,57%,43%,3.66,,,,,,,,,
KY,04,KY04,"Massie, Thomas",(R),34.8,63.4,37,61.5,37%,63%,16.5,,,,,,,,,
KY,05,KY05,"Rogers, Hal",(R),23.2,75,31.6,66.6,28%,72%,25.1,,,,,,,,,
KY,06,KY06,"Barr, Andy",(R),42.2,55.8,44.8,53.7,44%,56%,8.73,,,,,,,,,
LA,01,LA01,"Scalise, Steve",(R),26.9,70.9,25.3,72.7,27%,73%,26.34,,,,,,,,,
LA,02,LA02,"Richmond, Cedric",(D),75.8,22.8,73.4,25.4,76%,24%,22.58,,,,,,,,,
LA,03,LA03,"Boustany, Charles",(R),32.3,66.1,34.1,64.2,34%,66%,19.24,,,,,,,,,
LA,04,LA04,"Fleming, John",(R),39.7,59,39.9,58.9,40%,60%,12.7,,,,,,,,,
LA,05,LA05,"Abraham, Ralph",(R),37.7,61,36.7,62,38%,62%,15.31,,,,,,,,,
LA,06,LA06,"Graves, Garret",(R),32,66.1,30.9,67.5,32%,68%,20.99,,,,,,,,,
MA,01,MA01,"Neal, Richard",(D),64,34.3,64.1,33.7,65%,35%,12.32,,,,,,,,,
MA,02,MA02,"McGovern, Jim",(D),58.7,39.2,60.4,37.5,61%,39%,7.83,,,,,,,,,
MA,03,MA03,"Tsongas, Niki",(D),56.9,41.4,58.8,39.4,59%,41%,5.88,,,,,,,,,
MA,04,MA04,"Kennedy, Joe",(D),57.1,41.3,60.4,37.9,60%,40%,6.74,,,,,,,,,
MA,05,MA05,"Clark, Katherine",(D),65.2,33.1,66.2,32.1,67%,33%,13.84,,,,,,,,,
MA,06,MA06,"Moulton, Seth",(D),54.7,43.9,56.9,41.4,57%,43%,3.68,,,,,,,,,
MA,07,MA07,"Capuano, Mike",(D),82.5,15.6,81.9,16.7,84%,16%,30.58,,,,,,,,,
MA,08,MA08,"Lynch, Stephen",(D),57.8,40.8,57.9,40.5,59%,41%,5.73,,,,,,,,,
MA,09,MA09,"Keating, Bill",(D),55.5,43.1,57.8,40.6,58%,42%,4.51,,,,,,,,,
MD,01,MD01,"Harris, Andy",(R),37.7,60.4,38.4,59.6,39%,61%,14.19,,,,,,,,,
MD,02,MD02,"Ruppersberger, Dutch",(D),63.1,35,60.6,37.5,63%,37%,10.05,,,,,,,,,
MD,03,MD03,"Sarbanes, John",(D),60.7,37.1,60.1,38,62%,38%,8.66,,,,,,,,,
MD,04,MD04,"Edwards, Donna",(D),78.1,20.8,77.3,21.8,78%,22%,25.48,,,,,,,,,
MD,05,MD05,"Hoyer, Steny",(D),66.1,32.4,65.1,33.6,67%,33%,13.53,,,,,,,,,
MD,06,MD06,"Delaney, John",(D),55.2,42.8,56.3,42,57%,43%,3.8,,,,,,,,,
MD,07,MD07,"Cummings, Elijah",(D),76.2,22.3,76.2,22.4,77%,23%,24.32,,,,,,,,,
MD,08,MD08,"Van Hollen, Chris",(D),62,36,62.8,35.6,64%,36%,10.54,,,,,,,,,
ME,01,ME01,"Pingree, Chellie",(D),59.6,38.2,60.7,37.5,61%,39%,8.38,,,,,,,,,
ME,02,ME02,"Poliquin, Bruce",(R),52.9,44.4,54.6,43.4,55%,45%,2.04,,,,,,,,,
MI,01,MI01,"Benishek, Dan",(R),45.3,53.6,49.7,48.4,48%,52%,4.78,,,,,,,,,
MI,02,MI02,"Huizenga, Bill",(R),43.1,56,48,50.3,46%,54%,6.85,,,,,,,,,
MI,03,MI03,"Amash, Justin",(R),45.8,53.1,49.7,48.6,48%,52%,4.57,,,,,,,,,
MI,04,MI04,"Moolenaar, John",(R),45.5,53.5,49.6,48.6,48%,52%,4.77,,,,,,,,,
MI,05,MI05,"Kildee, Dan",(D),60.7,38.3,63,35.3,63%,37%,9.7,,,,,,,,,
MI,06,MI06,"Upton, Fred",(R),48.8,50.2,53.1,45.2,52%,48%,1.35,,,,,,,,,
MI,07,MI07,"Walberg, Tim",(R),47.9,51,50.8,47.4,50%,50%,2.92,,,,,,,,,
MI,08,MI08,"Bishop, Mike",(R),48,51.1,52,46.4,51%,49%,2.37,,,,,,,,,
MI,09,MI09,"Levin, Sander",(D),57.2,41.9,58.1,40.1,58%,42%,5.44,,,,,,,,,
MI,10,MI10,"Miller, Candice",(R),43.7,55.3,48,50,47%,53%,6.45,,,,,,,,,
MI,11,MI11,"Trott, Dave",(R),46.9,52.3,50.2,48.3,49%,51%,3.89,,,,,,,,,
MI,12,MI12,"Dingell, Debbie",(D),66.2,32.8,66.9,31.4,67%,33%,14.46,,,,,,,,,
MI,13,MI13,"Conyers, John",(D),85.2,14.3,84.8,14.2,86%,14%,32.64,,,,,,,,,
MI,14,MI14,"Lawrence, Brenda",(D),81,18.6,82.2,17.1,82%,18%,29.05,,,,,,,,,
MN,01,MN01,"Walz, Tim",(D),49.6,48.2,50.8,46.7,51%,49%,1.59,,,,,,,,,
MN,02,MN02,"Kline, John",(R),49.1,49,50.5,47.6,51%,49%,2.24,,,,,,,,,
MN,03,MN03,"Paulsen, Erik",(R),49.6,48.8,51,47.4,51%,49%,1.88,,,,,,,,,
MN,04,MN04,"McCollum, Betty",(D),62.5,35.5,62.6,35.5,64%,36%,10.79,,,,,,,,,
MN,05,MN05,"Ellison, Keith",(D),73.5,24,73.4,24.5,75%,25%,22.18,,,,,,,,,
MN,06,MN06,"Emmer, Tom",(R),41.5,56.5,43.2,54.7,43%,57%,9.76,,,,,,,,,
MN,07,MN07,"Peterson, Collin",(D),44.1,53.9,47.1,50.4,47%,53%,6.35,,,,,,,,,
MN,08,MN08,"Nolan, Rick",(D),51.7,46.2,53.1,44.5,54%,46%,0.61,,,,,,,,,
MO,01,MO01,"Clay, Lacy",(D),79.9,18.9,80.3,18.6,81%,19%,28.03,,,,,,,,,
