CD_Name,Year,Lookup,PVI
AZ03o,2008,AZ03o_2008,9.29538298
AZ04o,2008,AZ04o_2008,-13.10703314
AZ05o,2008,AZ05o_2008,4.749928434
AZ06o,2008,AZ06o_2008,14.34588803
AZ07o,2008,AZ07o_2008,-6.071857262
AZ08o,2008,AZ08o_2008,4.514067285
CA01o,2008,CA01o_2008,-13.07113939
CA02o,2008,CA02o_2008,10.60543784
CA03o,2008,CA03o_2008,5.529295711
CA04o,2008,CA04o_2008,9.888044287
CA05o,2008,CA05o_2008,-15.28288703
CA06o,2008,CA06o_2008,-23.27522102
CA07o,2008,CA07o_2008,-18.9874453
CA08o,2008,CA08o_2008,-35.52011898
CA09o,2008,CA09o_2008,-37.1102982
CA10o,2008,CA10o_2008,-11.72958754
CA11o,2008,CA11o_2008,0.960767792
CA12o,2008,CA12o_2008,-22.89710023
CA13o,2008,CA13o_2008,-22.38948601
CA14o,2008,CA14o_2008,-20.72420061
CA15o,2008,CA15o_2008,-15.28288703
CA16o,2008,CA16o_2008,-15.95714227
CA17o,2008,CA17o_2008,-18.83618652
CA18o,2008,CA18o_2008,-3.607760127
CA19o,2008,CA19o_2008,8.57498099
CA20o,2008,CA20o_2008,-4.846031162
CA21o,2008,CA21o_2008,12.6358947
CA22o,2008,CA22o_2008,16.18919419
CA23o,2008,CA23o_2008,-12.05073122
CA24o,2008,CA24o_2008,3.739827424
CA25o,2008,CA25o_2008,5.806411633
CA26o,2008,CA26o_2008,2.991224645
CA27o,2008,CA27o_2008,-12.56093531
CA28o,2008,CA28o_2008,-23.40471444
CA29o,2008,CA29o_2008,-14.60175163
CA30o,2008,CA30o_2008,-17.8209581
CA31o,2008,CA31o_2008,-28.48085657
CA32o,2008,CA32o_2008,-14.77527282
CA33o,2008,CA33o_2008,-34.64401096
CA34o,2008,CA34o_2008,-21.8818718
CA35o,2008,CA35o_2008,-31.52654185
CA36o,2008,CA36o_2008,-11.22197332
CA37o,2008,CA37o_2008,-26.56320288
CA38o,2008,CA38o_2008,-17.8209581
CA39o,2008,CA39o_2008,-12.05073122
CA40o,2008,CA40o_2008,7.559752564
CA41o,2008,CA41o_2008,10.09782363
CA42o,2008,CA42o_2008,9.590209417
CA43o,2008,CA43o_2008,-12.74481596
CA44o,2008,CA44o_2008,5.760029444
CA45o,2008,CA45o_2008,3.234776919
CA46o,2008,CA46o_2008,5.529295711
CA47o,2008,CA47o_2008,-4.11537434
CA48o,2008,CA48o_2008,5.806411633
CA49o,2008,CA49o_2008,10.09782363
CA50o,2008,CA50o_2008,2.991224645
CA51o,2008,CA51o_2008,-7.668673832
CA52o,2008,CA52o_2008,9.082595203
CA53o,2008,CA53o_2008,-14.2676586
CO01o,2008,CO01o_2008,-20.86664338
CO02o,2008,CO02o_2008,-10.71435911
CO03o,2008,CO03o_2008,4.78600347
CO04o,2008,CO04o_2008,5.760029444
CO05o,2008,CO05o_2008,14.34588803
CO06o,2008,CO06o_2008,8.285281969
CO07o,2008,CO07o_2008,-4.340980657
CT01o,2008,CT01o_2008,-12.42178874
CT02o,2008,CT02o_2008,-6.145831193
CT03o,2008,CT03o_2008,-9.191516472
CT04o,2008,CT04o_2008,-5.351081667
CT05o,2008,CT05o_2008,-2.356853673
DE01o,2008,DE01o_2008,-6.866233182
FL01o,2008,FL01o_2008,21.06382113
FL02o,2008,FL02o_2008,5.485931683
FL03o,2008,FL03o_2008,-18.13215877
FL04o,2008,FL04o_2008,16.54120806
FL05o,2008,FL05o_2008,8.790332475
FL06o,2008,FL06o_2008,10.00854475
FL07o,2008,FL07o_2008,6.490956808
FL08o,2008,FL08o_2008,2.214574899
FL09o,2008,FL09o_2008,5.988444246
FL10o,2008,FL10o_2008,0.709524394
FL11o,2008,FL11o_2008,-11.41168773
FL12o,2008,FL12o_2008,5.485931683
FL13o,2008,FL13o_2008,5.485931683
